1.000809669494628906e-02,8.499343784039756429e+02,8.506190577926369087e+02,8.499999997957045252e+02,8.499921717374531909e+02,6.303112669437527238e-01
2.311837673187255859e-01,8.499619088723666209e+02,8.501719183926934420e+02,8.499997986661763889e+02,8.458453850842904558e+02,4.326699215937645171e+00
2.411909103393554688e-01,8.499755589500382484e+02,8.500710023592158677e+02,8.499997755889839937e+02,8.454793668351686620e+02,4.591699383811410407e+00
2.591869831085205078e-01,8.499802811299628047e+02,8.499267199879462851e+02,8.499997297257009450e+02,8.447826826128939501e+02,5.144074140582686638e+00
2.782001495361328125e-01,8.500209298665325832e+02,8.498170042657377508e+02,8.499996747831860375e+02,8.439930400545395059e+02,5.824002997242193835e+00
2.976856231689453125e-01,8.499927575721569610e+02,8.497150803002090242e+02,8.499996110388037778e+02,8.431268251328469887e+02,6.588258732038204002e+00
3.192429542541503906e-01,8.500470387023729018e+02,8.496406163432219500e+02,8.499995310693138890e+02,8.421015501064505315e+02,7.539215920613072441e+00
3.396816253662109375e-01,8.500353599692371063e+02,8.495414262707989792e+02,8.499994453906281251e+02,8.410647509927930514e+02,8.476751360380552214e+00
3.591639995574951172e-01,8.500082658225405794e+02,8.493652396087982197e+02,8.499993541377818929e+02,8.400180276690443861e+02,9.347216187978208524e+00
3.775589466094970703e-01,8.500351930656788682e+02,8.492668343670584363e+02,8.499992588240252189e+02,8.389775712094235587e+02,1.028932590584950191e+01
3.986632823944091797e-01,8.500957268087209968e+02,8.490383583067232394e+02,8.499991378091565366e+02,8.377217053203585237e+02,1.131706517824450486e+01
4.193885326385498047e-01,8.500915037289556722e+02,8.488829620458323006e+02,8.499990060631286042e+02,8.364240176303839007e+02,1.245928777119367759e+01
4.386830329895019531e-01,8.501374671528204772e+02,8.487409137837037179e+02,8.499988711959176726e+02,8.351588206449877134e+02,1.358280025871050434e+01
4.588763713836669922e-01,8.500848932188980598e+02,8.485910252027121032e+02,8.499987166751543555e+02,8.337759863415194559e+02,1.481528949617050017e+01
4.782385826110839844e-01,8.501596472973124037e+02,8.483524977261378126e+02,8.499985549434105678e+02,8.323939427562052060e+02,1.595936801614795719e+01
4.975893497467041016e-01,8.501972331139478456e+02,8.481175634372533523e+02,8.499983793016529035e+02,8.309580756382853224e+02,1.716063997529220586e+01
5.195448398590087891e-01,8.502377549585551151e+02,8.479061482497120323e+02,8.499981621259756821e+02,8.292631139394327420e+02,1.864457382242013850e+01
5.387375354766845703e-01,8.502161001483259497e+02,8.477072417829070901e+02,8.499979558650607032e+02,8.277244181124058287e+02,1.998401433082619860e+01
5.583629608154296875e-01,8.502773143530532707e+02,8.474520104714571289e+02,8.499977282925902955e+02,8.260963180459129944e+02,2.135752250003844210e+01
5.786671638488769531e-01,8.502919832994801936e+02,8.471340250622242820e+02,8.499974742405430561e+02,8.243539949222368932e+02,2.278193382407494383e+01
5.988078117370605469e-01,8.503409135621608357e+02,8.469141942342356515e+02,8.499972026211994489e+02,8.225678467270041665e+02,2.434877356570168772e+01
6.199531555175781250e-01,8.504252716342705298e+02,8.466096923038315936e+02,8.499968954010414564e+02,8.206309579143418205e+02,2.598226600350427873e+01
6.398217678070068359e-01,8.504118719909129140e+02,8.462434406362006030e+02,8.499965851697669450e+02,8.187538299504183215e+02,2.749274738544136198e+01
6.588716506958007812e-01,8.504204796733840794e+02,8.458564661121242807e+02,8.499962672136596211e+02,8.169023456326224277e+02,2.895722792244613331e+01
6.787261962890625000e-01,8.505373720206048347e+02,8.455168233838051037e+02,8.499959135306409053e+02,8.149191177003481243e+02,3.060249614635723603e+01
6.981358528137207031e-01,8.505792643978626302e+02,8.451579467902480474e+02,8.499955448457999410e+02,8.129278420112107142e+02,3.223539021918589498e+01
7.178964614868164062e-01,8.505811761923550876e+02,8.446958265852155137e+02,8.499951452353498098e+02,8.108476051197164907e+02,3.385329420691636670e+01
7.388672828674316406e-01,8.507219699065421992e+02,8.437852661759509374e+02,8.499946932632933567e+02,8.085819311412681145e+02,3.521084675039698908e+01
7.589724063873291016e-01,8.509401938463058741e+02,8.420988148795987627e+02,8.499942318722758046e+02,8.063540790537238081e+02,3.575725077963767973e+01
7.782521247863769531e-01,8.512269854503626902e+02,8.393497811754226632e+02,8.499937625718387153e+02,8.041668439917467595e+02,3.520454384789837832e+01
7.990317344665527344e-01,8.519017569196898876e+02,8.351445246706448415e+02,8.499932261715659934e+02,8.017541273767091070e+02,3.344489678655632048e+01
8.181307315826416016e-01,8.527385626956977376e+02,8.297798955230025513e+02,8.499927041079088212e+02,7.994863102365210352e+02,3.041777521275123419e+01
8.389875888824462891e-01,8.538242862783096143e+02,8.239176149841271126e+02,8.499921010032250024e+02,7.969552362686906690e+02,2.723335289635111067e+01
8.589482307434082031e-01,8.548089917254053489e+02,8.182230360007170020e+02,8.499914903723536099e+02,7.944800412700310517e+02,2.422680577517465750e+01
8.786358833312988281e-01,8.559230096653441251e+02,8.130734532241220904e+02,8.499908548841922311e+02,7.919884572987893989e+02,2.190359590384280963e+01
8.986122608184814453e-01,8.570035817654210177e+02,8.083152344819654900e+02,8.499901751775536241e+02,7.894097659737662980e+02,2.016443928011024767e+01
9.189081192016601562e-01,8.579606713736247912e+02,8.040822918751096040e+02,8.499894473442266190e+02,7.867381231130002561e+02,1.908823204425659981e+01
9.389181137084960938e-01,8.591942920861903303e+02,7.991498039965453017e+02,8.499886917338303647e+02,7.840535418813230990e+02,1.768163475753480895e+01
