0.000000000000000000e+00,7.330000000000000000e+02,8.500000000000000000e+02,7.351945700264691368e+02,8.401050924493098364e+02
1.923704147338867188e-02,7.350000000000000000e+02,8.500000000000000000e+02,7.352009537201622607e+02,8.400542292531591784e+02
3.936982154846191406e-02,7.360000000000000000e+02,8.500000000000000000e+02,7.358482088102173293e+02,8.393527039517391586e+02
5.953264236450195312e-02,7.380000000000000000e+02,8.500000000000000000e+02,7.367516433682944808e+02,8.371627262494129127e+02
7.933139801025390625e-02,7.400000000000000000e+02,8.500000000000000000e+02,7.376112839258739768e+02,8.334683319100042809e+02
9.962725639343261719e-02,7.420000000000000000e+02,8.490000000000000000e+02,7.388207370117061146e+02,8.287540893401621815e+02
1.200590133666992188e-01,7.430000000000000000e+02,8.490000000000000000e+02,7.400163157703377692e+02,8.236494229037336936e+02
1.401543617248535156e-01,7.450000000000000000e+02,8.480000000000000000e+02,7.408838251599111118e+02,8.201436476443060428e+02
1.593117713928222656e-01,7.470000000000000000e+02,8.480000000000000000e+02,7.413512969064679510e+02,8.181491770956795335e+02
1.800918579101562500e-01,7.480000000000000000e+02,8.470000000000000000e+02,7.416289525623255940e+02,8.171826641403606573e+02
1.993572711944580078e-01,7.500000000000000000e+02,8.470000000000000000e+02,7.417280799939740064e+02,8.168754997724448685e+02
2.193748950958251953e-01,7.520000000000000000e+02,8.460000000000000000e+02,7.419540686308992008e+02,8.161009743035371002e+02
2.398257255554199219e-01,7.530000000000000000e+02,8.450000000000000000e+02,7.422346296620119119e+02,8.148572387595995679e+02
2.592360973358154297e-01,7.550000000000000000e+02,8.450000000000000000e+02,7.425304974893792860e+02,8.137743366067172701e+02
2.801878452301025391e-01,7.570000000000000000e+02,8.440000000000000000e+02,7.427251165246125311e+02,8.127471344340876840e+02
2.999212741851806641e-01,7.580000000000000000e+02,8.430000000000000000e+02,7.429153501477137524e+02,8.122583901999560112e+02
3.191847801208496094e-01,7.600000000000000000e+02,8.420000000000000000e+02,7.430588580526898568e+02,8.115384080962692224e+02
